id,nome,sobrenome,cpf,rg,data_nascimento,salario,id_departamento
1,Sol,Guilloux,212.215.845-22,1145.121-55,2005-01-15,8000.50,6
2,Zira,Beber,125.355.845-72,4545.458-55,2005-01-15,8000.50,9
3,Nica,"Da Silva",856.125.845-42,4545.158-55,2005-01-15,8000.50,1
4,Gab,Souza,789.215.858-22,4785.758-22,2005-01-15,1420.50,8
5,Welly,"De Assis",985.225.821-42,1255.148-12,2005-01-15,2221.50,7
6,Sol,Mazzarolo,212.111.845-23,4040.111-55,2005-01-15,1420.50,2
7,Susha,"Dom Martinz",112.255.825-21,0045.418-15,2005-01-15,8568.50,4
8,Mila,Pires,812.715.745-22,0213.458-12,2005-01-15,7800.50,4
9,Ziru,Tenas,712.275.745-22,7845.488-00,2005-01-15,8700.50,2
10,Lilla,Torronte,888.215.845-77,7845.458-55,2005-01-15,8500.50,5
